Year,Piemonte,Valle d'Aosta,Liguria,Lombardia,Trentino-Alto Adige,Veneto,Friuli-Venezia Giulia,Emilia-Romagna,Marche,Toscana,Umbria,Lazio,Abruzzo,Molise,Campania,Puglia,Basilicata,Calabria,Sicilia,Sardegna
1952,8.4,6.8,4.2,3.5,4.0,-6.6,2.7,0.5,-3.1,2.4,-0.1,4.0,-1.9,…,-2.9,-1.7,-3.3,-3.4,-2.4,0.9
1953,8.3,7.1,4.8,4.6,1.6,-6.7,2.4,0.7,-4.4,3.1,-1.0,7.2,-2.8,…,-1.5,-1.7,-3.2,-4.1,-1.4,1.1
1954,10.4,7.7,12.5,3.9,0.7,-8.7,0.5,0.8,-5.7,3.0,-2.2,5.9,-3.8,…,-1.3,-2.3,-4.3,-4.7,-1.4,-1.0
1955,11.6,3.5,7.3,5.6,0.1,-9.7,8.0,-0.7,-6.4,2.3,-2.9,6.1,-4.7,…,-2.0,-4.0,-5.6,-5.0,-2.0,-2.5
1956,10.0,7.1,9.4,6.3,-0.2,-8.7,8.2,0.5,-4.5,2.0,-3.3,6.9,-5.5,…,-1.6,-5.5,-6.9,-5.3,-2.5,-2.5
1957,11.0,3.5,10.6,6.4,-0.7,-8.7,0.1,-1.0,-5.9,2.3,-4.2,6.6,-5.7,…,-2.0,-8.6,-7.8,-6.5,-3.5,-2.5
1958,8.3,10.1,12.1,8.3,-0.8,-8.0,-0.9,-0.1,-6.5,2.0,-4.9,5.1,-6.0,…,-2.4,-7.0,-8.5,-7.2,-3.4,-3.4
1959,8.1,11.6,11.2,8.6,-0.4,-6.0,-1.4,-0.1,-6.1,1.3,-5.6,8.4,-7.3,…,-3.1,-7.7,-9.3,-7.8,-4.4,-3.5
1960,16.9,5.8,11.4,9.5,-0.3,-9.6,-1.2,-0.4,-6.7,2.0,-6.3,9.1,-7.8,…,-3.7,-10.3,-13.7,-11.2,-5.6,-6.5
1961,20.5,3.3,11.6,13.0,0.6,-9.0,-2.5,0.8,-13.0,1.5,-15.5,18.1,-11.8,…,-7.3,-16.3,-20.0,-18.8,-11.3,-13.3
1962,18.5,1.9,14.2,12.8,-0.9,-4.6,-1.9,2.6,-7.1,3.1,-7.6,9.4,-6.4,…,-6.8,-10.9,-19.6,-16.6,-11.4,-10.9
1963,18.2,5.6,17.2,12.6,0.0,-1.6,1.3,3.9,-6.8,2.2,-7.3,14.6,-6.0,…,-5.9,-7.4,-19.2,-18.6,-5.0,-10.5
1964,7.6,5.3,12.5,7.6,-0.2,-0.5,0.7,0.5,-4.7,1.8,-6.1,9.2,-4.2,-1.9,-3.7,-3.7,-12.8,-13.1,-6.0,-6.5
1965,1.0,3.8,4.8,2.9,-1.0,-0.9,0.3,-0.5,-2.7,1.4,-4.0,6.1,-1.9,-1.3,-1.9,-2.0,-8.0,-5.2,-1.5,-2.1
1966,5.9,3.8,1.7,3.6,-0.6,-1.1,1.4,0.4,-2.4,1.8,-4.7,5.2,-2.4,-1.1,-2.9,-3.5,-8.2,-6.5,-3.0,-3.3
1967,11.6,6.3,2.8,5.8,-1.1,-1.0,0.3,1.6,-2.4,2.4,-5.4,5.9,-3.2,-1.4,-4.6,-6.5,-13.3,-9.8,-5.8,-5.2
1968,11.0,7.6,3.6,6.7,-0.7,0.3,1.3,2.7,-1.8,3.8,-4.9,5.1,-3.3,-1.5,-5.4,-7.0,-16.3,-11.2,-9.2,-6.6
1969,11.8,7.3,3.6,6.1,-1.3,0.5,1.6,1.9,-0.9,3.4,-4.2,5.3,-3.0,-1.8,-6.5,-7.5,-18.5,-12.7,-6.4,-6.8
1970,9.5,6.2,4.9,7.1,-0.6,0.5,2.0,3.3,-1.1,4.2,-4.0,4.7,-2.7,-1.1,-6.8,-7.4,-32.0,-12.8,-7.3,-5.9
